OBS	INTRATE	INFL	PROD	UNEMPL	COMMPRI	PCE	PERSINC	HOUST					
1960:1	3.99	1.24095	10.03653	3.41845	7.95262	5.70962	1.68419	-11.88896					
1960:2	3.97	1.41379	6.96248	3.46575	-8.55856	5.06452	1.33094	-9.83803					
1960:3	3.84	1.51881	4.49681	2.71993	-16.83599	5.55733	0.89195	-31.54321					
1960:4	3.92	1.93237	1.50624	2.79820	-5.03145	7.77351	0.67636	-18.93082					
1960:5	3.85	1.82507	-0.11398	1.72552	-12.44240	4.39179	0.33667	-15.15354					
1960:6	3.32	1.71762	-1.48262	1.24443	-24.31655	3.73509	0.06719	-17.03260					
1960:7	3.23	1.37221	0.58410	0.93117	-21.90923	4.30682	0.32859	-22.62443					
1960:8	2.98	1.47361	3.99058	1.75685	-12.15278	3.58814	0.78085	-6.01399					
1960:9	2.60	1.23077	3.02654	1.49544	-21.42857	2.83426	0.94356	-28.76623					
1960:10	2.47	1.36286	3.65889	1.47117	-28.68463	3.93067	1.17327	-8.04428					
1960:11	2.44	1.46508	1.57608	0.60968	-27.95699	3.89851	0.00000	-12.00565					
1960:12	1.98	1.36008	-6.16438	-0.79557	-26.72956	2.62995	-1.40101	-33.60400					
1961:1	1.45	1.60027	-8.45345	-1.08892	-23.04075	2.65432	-0.27745	-18.97260					
1961:2	2.54	1.46209	-7.74406	-1.75554	-17.40558	2.60976	0.15997	-18.42981					
1961:3	2.02	1.46209	-6.34209	-1.46168	-12.39092	2.29955	0.43782	18.30478					
1961:4	1.49	0.91401	-3.65295	-2.16376	-14.23841	0.35619	0.28552	-9.54228					
1961:5	1.98	0.91309	-2.05742	-1.26301	-3.50877	3.02663	0.81369	-3.38316					
1961:6	1.73	0.77676	0.57869	-0.68081	-4.94297	3.26778	1.80445	10.82598					
1961:7	1.17	1.25212	2.09045	-0.33331	2.00401	2.80289	2.07424	11.52882					
1961:8	2.00	1.11449	3.13953	0.04975	3.16206	3.19277	2.18966	-2.38095					
1961:9	1.88	1.24958	4.11269	0.29505	11.36364	3.32534	2.13053	30.26436					
1961:10	2.26	0.77311	6.23502	0.69814	23.33333	3.33532	2.81513	13.56340					
1961:11	2.61	0.67159	9.42710	1.44731	10.66098	4.34783	4.27762	11.15570					
1961:12	2.33	0.67092	12.53042	2.09698	20.81545	6.39132	5.41989	28.41016					
1962:1	2.15	0.67024	11.42146	2.25025	16.29328	6.34396	4.03845	15.04649					
1962:2	2.37	0.90483	13.38207	3.04541	8.74751	6.07421	4.12744	4.24144					
1962:3	2.85	1.10590	13.30117	3.00771	13.14741	5.85626	4.39266	9.98476					
1962:4	2.78	1.34183	11.25605	3.68478	3.47490	6.35907	4.58047	30.70326					
